latitude,longitude,geometry,Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
37.77899828,-122.4284423,Point,12/15/12 4:30,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Saturday,NORTHERN,"ARREST, CITED",1000 Block of MCALLISTER ST,-122.4284423,37.77899828
37.73391778,-122.3922356,Point,3/23/06 22:30,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,BAYVIEW,NONE,1700 Block of QUESADA AV,-122.3922356,37.73391778
37.78469691,-122.4136093,Point,4/3/09 15:32,WARRANTS,ENROUTE TO PAROLE OFFICER,Friday,TENDERLOIN,"ARREST, BOOKED",400 Block of ELLIS ST,-122.4136093,37.78469691
37.76771775,-122.4156055,Point,2/12/11 16:55,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Saturday,MISSION,"ARREST, CITED",1800 Block of FOLSOM ST,-122.4156055,37.76771775
37.73956696,-122.4069795,Point,5/14/03 17:55,ASSAULT,UNLAWFUL DISSUADING/THREATENING OF A WITNESS,Wednesday,BAYVIEW,NONE,CORTLAND AV / BAY SHORE BL,-122.4069795,37.73956696
37.78223059,-122.4102935,Point,1/26/05 17:18,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Wednesday,SOUTHERN,NONE,6TH ST / MARKET ST,-122.4102935,37.78223059
37.78819061,-122.4185805,Point,9/16/13 21:05,ASSAULT,BATTERY,Monday,NORTHERN,NONE,1100 Block of LARKIN ST,-122.4185805,37.78819061
37.7364439,-122.3944389,Point,5/17/10 17:30,MISSING PERSON,MISSING JUVENILE,Monday,BAYVIEW,LOCATED,1400 Block of PHELPS ST,-122.3944389,37.7364439
37.7619852,-122.4402178,Point,7/26/11 16:15,OTHER OFFENSES,CONSPIRACY,Tuesday,PARK,"ARREST, BOOKED",100 Block of ORD ST,-122.4402178,37.7619852
37.76758565,-122.4177913,Point,11/19/06 1:44,BURGLARY,"BURGLARY,APT UNDER CONSTRUCTION, ATT. FORCIBLE",Sunday,MISSION,"ARREST, BOOKED",300 Block of SOUTH VAN NESS AV,-122.4177913,37.76758565
37.71645868,-122.4410181,Point,7/22/08 12:25,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,INGLESIDE,"ARREST, CITED",GENEVA AV / MISSION ST,-122.4410181,37.71645868
37.7800333,-122.4642799,Point,9/18/13 9:00,ASSAULT,THREATENING PHONE CALL(S),Wednesday,RICHMOND,NONE,400 Block of 6TH AV,-122.4642799,37.7800333
37.78191196,-122.413048,Point,2/4/13 6:35,TRESPASS,LODGING WITHOUT PERMISSION,Monday,TENDERLOIN,"ARREST, CITED",100 Block of GOLDEN GATE AV,-122.413048,37.78191196
37.73603451,-122.4924686,Point,1/10/08 22:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE,2700 Block of 35TH AV,-122.4924686,37.73603451
37.79200525,-122.3916489,Point,11/26/14 19:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,SOUTHERN,NONE,HOWARD ST / STEUART ST,-122.3916489,37.79200525
37.73443018,-122.4517892,Point,12/14/08 13:00,STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,Sunday,INGLESIDE,NONE,400 Block of LOSPALMOS DR,-122.4517892,37.73443018
37.79219761,-122.4149936,Point,4/30/08 0:01,FRAUD,"CREDIT CARD, THEFT BY USE OF",Wednesday,CENTRAL,NONE,1300 Block of SACRAMENTO ST,-122.4149936,37.79219761
37.78266487,-122.4380539,Point,12/12/04 0:01,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,PARK,NONE,2000 Block of OFARRELL ST,-122.4380539,37.78266487
37.71420894,-122.4361771,Point,9/1/08 7:55,OTHER OFFENSES,PAROLE VIOLATION,Monday,INGLESIDE,"ARREST, BOOKED",GENEVA AV / NAPLES ST,-122.4361771,37.71420894
37.73783448,-122.3862807,Point,8/20/13 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,BAYVIEW,NONE,1400 Block of INNES AV,-122.3862807,37.73783448
37.75972523,-122.4115728,Point,11/17/10 8:00,ASSAULT,BATTERY,Wednesday,MISSION,NONE,700 Block of ALABAMA ST,-122.4115728,37.75972523
37.7131719,-122.4590236,Point,7/21/03 19:09,WARRANTS,WARRANT ARREST,Monday,TARAVAL,"ARREST, BOOKED",CAPITOL AV / BROAD ST,-122.4590236,37.7131719
37.78328787,-122.4089536,Point,7/13/05 20:40,ASSAULT,BATTERY,Wednesday,SOUTHERN,"ARREST, BOOKED",MASON ST / TURK ST,-122.4089536,37.78328787
37.78751587,-122.407435,Point,11/20/10 15:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Saturday,CENTRAL,NONE,200 Block of GEARY ST,-122.407435,37.78751587
37.78207293,-122.4122242,Point,2/20/03 15:03,WARRANTS,WARRANT ARREST,Thursday,TENDERLOIN,"ARREST, BOOKED",JONES ST / GOLDEN GATE AV,-122.4122242,37.78207293
37.78330881,-122.4394808,Point,7/29/05 15:30,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,PARK,"ARREST, CITED",GEARY BL / DIVISADERO ST,-122.4394808,37.78330881
37.77236352,-122.4322563,Point,2/26/05 1:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Saturday,NORTHERN,NONE,300 Block of STEINER ST,-122.4322563,37.77236352
37.78408904,-122.4118001,Point,9/15/08 13:15,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Monday,TENDERLOIN,"ARREST, BOOKED",200 Block of EDDY ST,-122.4118001,37.78408904
37.78383444,-122.4129305,Point,3/24/05 0:17,OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,Thursday,TENDERLOIN,"ARREST, BOOKED",300 Block of EDDY ST,-122.4129305,37.78383444
37.76119777,-122.5091348,Point,4/6/11 9:40,ASSAULT,BATTERY,Wednesday,TARAVAL,EXCEPTIONAL CLEARANCE,1300 Block of LA PLAYA ST,-122.5091348,37.76119777
37.76428371,-122.4185499,Point,3/3/14 9:54,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,MISSION,PSYCHOPATHIC CASE,100 Block of CAPP ST,-122.4185499,37.76428371
37.77070812,-122.425963,Point,1/17/10 18:00,ASSAULT,BATTERY,Sunday,NORTHERN,NONE,0 Block of HERMANN ST,-122.425963,37.77070812
37.77542071,-122.4034048,Point,4/16/03 0:01,FRAUD,"FALSE PRETENSES, GRAND THEFT",Wednesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
37.80242741,-122.4133666,Point,10/15/09 17:18,LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,CENTRAL,NONE,800 Block of COLUMBUS AV,-122.4133666,37.80242741
37.77754009,-122.4195948,Point,5/14/03 12:00,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Wednesday,NORTHERN,NONE,200 Block of VAN NESS AV,-122.4195948,37.77754009
37.77993387,-122.4007999,Point,8/21/12 19:50,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,SOUTHERN,NONE,800 Block of HARRISON ST,-122.4007999,37.77993387
37.7862599,-122.4131357,Point,12/20/04 16:00,FORGERY/COUNTERFEITING,"MONEY, CHANGING FACE AMOUNT",Monday,TENDERLOIN,PROSECUTED BY OUTSIDE AGENCY,500 Block of JONES ST,-122.4131357,37.7862599
37.78541211,-122.4305793,Point,6/2/12 17:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Saturday,NORTHERN,NONE,1700 Block of POST ST,-122.4305793,37.78541211
37.76435775,-122.417477,Point,9/21/13 6:20,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Saturday,MISSION,COMPLAINANT REFUSES TO PROSECUTE,500 Block of SOUTH VAN NESS AV,-122.417477,37.76435775
37.75628222,-122.417803,Point,5/2/12 1:25,NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED",Wednesday,MISSION,"ARREST, BOOKED",600 Block of CAPP ST,-122.417803,37.75628222
37.71338112,-122.4340758,Point,4/19/15 13:35,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,INGLESIDE,NONE,1300 Block of GENEVA AV,-122.4340758,37.71338112
37.79671632,-122.401585,Point,10/20/10 2:47,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Wednesday,CENTRAL,NONE,300 Block of JACKSON ST,-122.401585,37.79671632
37.78161503,-122.4094204,Point,1/11/03 1:38,OTHER OFFENSES,RECKLESS DRIVING,Saturday,SOUTHERN,"ARREST, BOOKED",0 Block of 6TH ST,-122.4094204,37.78161503
37.76924706,-122.4269556,Point,9/15/09 12:30,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Tuesday,MISSION,"ARREST, BOOKED",2000 Block of MARKET ST,-122.4269556,37.76924706
37.75032518,-122.4099056,Point,1/28/05 13:00,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",Friday,MISSION,NONE,1300 Block of FLORIDA ST,-122.4099056,37.75032518
37.76505012,-122.4196718,Point,1/29/05 20:00,NON-CRIMINAL,LOST PROPERTY,Saturday,MISSION,NONE,16TH ST / MISSION ST,-122.4196718,37.76505012
37.78273179,-122.406482,Point,5/17/05 1:07,DRUG/NARCOTIC,POSSESSION OF COCAINE FOR SALES,Tuesday,SOUTHERN,"ARREST, BOOKED",5TH ST / MISSION ST,-122.406482,37.78273179
37.71215029,-122.4171448,Point,1/24/07 17:41,RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Wednesday,INGLESIDE,NONE,1800 Block of SUNNYDALE AV,-122.4171448,37.71215029
37.72988743,-122.3821926,Point,3/8/14 18:14,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Saturday,BAYVIEW,NOT PROSECUTED,1100 Block of OAKDALE AV,-122.3821926,37.72988743
37.80577399,-122.4128038,Point,2/27/11 15:30,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Sunday,CENTRAL,NONE,300 Block of BAY ST,-122.4128038,37.80577399
37.78047775,-122.4125153,Point,8/18/04 10:02,FRAUD,FALSE ID TO PEACE OFFICER,Wednesday,SOUTHERN,"ARREST, BOOKED",7TH ST / MARKET ST,-122.4125153,37.78047775
37.80503015,-122.4178672,Point,12/15/06 0:30,TRESPASS,TRESPASSING,Friday,CENTRAL,"ARREST, BOOKED",600 Block of BAY ST,-122.4178672,37.80503015
37.73069029,-122.4488605,Point,7/26/03 12:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Saturday,INGLESIDE,NONE,HEARST AV / FOERSTER ST,-122.4488605,37.73069029
37.76403685,-122.4663097,Point,9/20/03 18:30,MISSING PERSON,FOUND PERSON,Saturday,TARAVAL,NONE,9TH AV / IRVING ST,-122.4663097,37.76403685
37.77741043,-122.4613465,Point,4/4/14 18:00,VEHICLE THEFT,STOLEN TRUCK,Friday,RICHMOND,NONE,200 Block of BALBOA ST,-122.4613465,37.77741043
37.78495312,-122.4279912,Point,6/12/13 22:02,LARCENY/THEFT,GRAND THEFT FROM PERSON,Wednesday,NORTHERN,NONE,GEARY BL / LAGUNA ST,-122.4279912,37.78495312
37.74545114,-122.4233955,Point,6/1/03 19:38,ASSAULT,BATTERY,Sunday,INGLESIDE,NONE,0 Block of 28TH ST,-122.4233955,37.74545114
37.78673422,-122.4058954,Point,11/12/12 15:59,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Monday,TENDERLOIN,"ARREST, BOOKED",0 Block of OFARRELL ST,-122.4058954,37.78673422
37.77542071,-122.4034048,Point,9/3/09 10:00,NON-CRIMINAL,LOST PROPERTY,Thursday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
37.78186219,-122.4138696,Point,1/15/05 14:20,DRUG/NARCOTIC,"CONTROLLED SUBSTANCE VIOLATION, LOITERING FOR",Saturday,TENDERLOIN,"ARREST, BOOKED",LEAVENWORTH ST / GOLDEN GATE AV,-122.4138696,37.78186219
37.72105715,-122.4752222,Point,12/13/10 14:15,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,TARAVAL,NONE,19TH AV / HOLLOWAY AV,-122.4752222,37.72105715
37.73301039,-122.4165174,Point,4/22/07 9:31,TRESPASS,TRESPASSING,Sunday,INGLESIDE,"ARREST, BOOKED",800 Block of ELLSWORTH ST,-122.4165174,37.73301039
37.75869682,-122.4179645,Point,2/20/13 19:20,PROSTITUTION,PANDERING,Wednesday,MISSION,NONE,20TH ST / CAPP ST,-122.4179645,37.75869682
37.8023845,-122.4007118,Point,5/18/12 17:30,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Friday,SOUTHERN,NONE,700 Block of THE EMBARCADEROSOUTH ST,-122.4007118,37.8023845
37.75262865,-122.3921622,Point,6/18/10 11:30,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,BAYVIEW,NONE,1300 Block of 25TH ST,-122.3921622,37.75262865
37.77885985,-122.4082757,Point,4/18/09 2:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,SOUTHERN,NONE,RUSS ST / HOWARD ST,-122.4082757,37.77885985
37.72902287,-122.4020462,Point,7/24/06 22:00,ASSAULT,THREATS AGAINST LIFE,Monday,BAYVIEW,NONE,1900 Block of DONNER AV,-122.4020462,37.72902287
37.73012437,-122.3916328,Point,11/13/08 21:30,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,BAYVIEW,NONE,1900 Block of LANE ST,-122.3916328,37.73012437
37.78174922,-122.3963818,Point,11/1/12 1:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE,STILLMAN ST / 3RD ST,-122.3963818,37.78174922
37.78223059,-122.4102935,Point,9/19/07 9:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,GOLDEN GATE AV / TAYLOR ST,-122.4102935,37.78223059
37.77895976,-122.4107181,Point,1/11/11 21:17,ASSAULT,SHOOTING INTO INHABITED DWELLING OR OCCUPIED VEHICLE,Tuesday,SOUTHERN,UNFOUNDED,100 Block of 7TH ST,-122.4107181,37.77895976
37.78677548,-122.4207757,Point,6/16/06 18:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,NORTHERN,NONE,1100 Block of POST ST,-122.4207757,37.78677548
37.78033487,-122.4372361,Point,4/3/14 9:00,ASSAULT,THREATS AGAINST LIFE,Thursday,PARK,NONE,1100 Block of SCOTT ST,-122.4372361,37.78033487
37.78399168,-122.4080683,Point,3/4/13 18:32,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Monday,SOUTHERN,NONE,MARKET ST / 5TH ST,-122.4080683,37.78399168
37.72775024,-122.425025,Point,11/3/13 8:14,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Sunday,INGLESIDE,NONE,0 Block of VIENNA ST,-122.425025,37.72775024
37.8096707,-122.3655654,Point,7/8/09 18:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,SOUTHERN,NONE,200 Block of INTERSTATE80 HY,-122.3655654,37.8096707
37.78871987,-122.4020702,Point,4/18/03 11:30,FRAUD,"CREDIT CARD, THEFT BY USE OF",Friday,SOUTHERN,NONE,MARKET ST / NEW MONTGOMERY ST,-122.4020702,37.78871987
37.71142553,-122.4451853,Point,2/21/12 15:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,INGLESIDE,NONE,600 Block of MORSE ST,-122.4451853,37.71142553
37.80323858,-122.4019852,Point,2/10/10 6:45,LARCENY/THEFT,GRAND THEFT BICYCLE,Wednesday,CENTRAL,NONE,BATTERY ST / GREENWICH ST,-122.4019852,37.80323858
37.75869863,-122.5025811,Point,7/12/06 12:30,MISSING PERSON,FOUND PERSON,Wednesday,TARAVAL,NONE,43RD AV / KIRKHAM ST,-122.5025811,37.75869863
37.7081536,-122.4857362,Point,4/29/14 13:40,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Tuesday,TARAVAL,"ARREST, CITED",LAKE MERCED BL / JOHNMUIR DR,-122.4857362,37.7081536
37.78153381,-122.4239188,Point,8/24/05 13:30,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,TURK ST / GOUGH ST,-122.4239188,37.78153381
37.78464803,-122.3998994,Point,6/29/14 13:26,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,200 Block of 3RD ST,-122.3998994,37.78464803
37.77832067,-122.4248841,Point,4/29/15 10:40,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,NORTHERN,NONE,600 Block of OCTAVIA ST,-122.4248841,37.77832067
37.74769299,-122.4336635,Point,10/27/08 18:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,MISSION,NONE,1700 Block of CASTRO ST,-122.4336635,37.74769299
37.77542071,-122.4034048,Point,9/20/10 12:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
37.78046893,-122.4169486,Point,2/6/09 16:05,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,NORTHERN,NOT PROSECUTED,LARKIN ST / MCALLISTER ST,-122.4169486,37.78046893
37.77542071,-122.4034048,Point,5/14/03 9:30,NON-CRIMINAL,LOST PROPERTY,Wednesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
37.75353512,-122.3972019,Point,12/11/03 10:14,ASSAULT,INFLICT INJURY ON COHABITEE,Thursday,BAYVIEW,"ARREST, BOOKED",1000 Block of CONNECTICUT ST,-122.3972019,37.75353512
37.78742987,-122.398973,Point,12/2/06 17:00,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Saturday,SOUTHERN,NONE,100 Block of 2ND ST,-122.398973,37.78742987
37.78678894,-122.3904424,Point,10/31/12 14:52,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,SOUTHERN,NONE,400 Block of BEALE ST,-122.3904424,37.78678894
37.78338624,-122.4098537,Point,10/4/11 13:36,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,TENDERLOIN,"ARREST, CITED",0 Block of TURK ST,-122.4098537,37.78338624
37.78331075,-122.4175307,Point,2/11/12 12:00,NON-CRIMINAL,LOST PROPERTY,Saturday,NORTHERN,NONE,LARKIN ST / EDDY ST,-122.4175307,37.78331075
37.7869409,-122.4115188,Point,1/26/10 12:15,VEHICLE THEFT,STOLEN TRUCK,Tuesday,CENTRAL,NONE,GEARY ST / TAYLOR ST,-122.4115188,37.7869409
37.781424,-122.4281299,Point,5/16/07 8:30,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Wednesday,NORTHERN,NONE,600 Block of LARCH ST,-122.4281299,37.781424
37.77951403,-122.4135641,Point,4/27/09 11:33,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Monday,SOUTHERN,"ARREST, BOOKED",1100 Block of MARKET ST,-122.4135641,37.77951403
37.76406787,-122.4035377,Point,8/7/04 7:14,OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,BAYVIEW,"ARREST, CITED",400 Block of KANSAS ST,-122.4035377,37.76406787
37.79076386,-122.3900942,Point,9/9/12 22:49,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,SOUTHERN,NONE,FOLSOM ST / THE EMBARCADEROSOUTH ST,-122.3900942,37.79076386
37.78090397,-122.4119795,Point,2/22/10 1:04,SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE,Monday,SOUTHERN,"ARREST, CITED",JONES ST / MCALLISTER ST,-122.4119795,37.78090397
37.77542071,-122.4034048,Point,10/6/12 0:01,SEX OFFENSES FORCIBLE,ASSAULT TO RAPE WITH BODILY FORCE,Saturday,SOUTHERN,DISTRICT ATTORNEY REFUSES TO PROSECUTE,800 Block of BRYANT ST,-122.4034048,37.77542071
37.77073127,-122.4487691,Point,1/10/09 22:44,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,PARK,NONE,PAGE ST / CLAYTON ST,-122.4487691,37.77073127
37.7727234,-122.4104167,Point,5/17/14 9:24,WARRANTS,PROBATION SEARCH,Saturday,SOUTHERN,"ARREST, BOOKED",300 Block of 9TH ST,-122.4104167,37.7727234
37.78190655,-122.4323556,Point,3/23/11 8:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Wednesday,NORTHERN,NONE,1300 Block of FILLMORE ST,-122.4323556,37.78190655
37.75869682,-122.4179645,Point,4/20/14 3:31,DISORDERLY CONDUCT,COMMITTING PUBLIC NUISANCE,Sunday,MISSION,"ARREST, BOOKED",20TH ST / CAPP ST,-122.4179645,37.75869682
37.79071052,-122.434205,Point,6/29/07 13:30,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,NORTHERN,NONE,CLAY ST / FILLMORE ST,-122.434205,37.79071052
37.78224582,-122.446613,Point,1/9/07 10:00,FRAUD,"TRICK AND DEVICE, GRAND THEFT",Tuesday,PARK,"ARREST, BOOKED",2600 Block of GEARY BL,-122.446613,37.78224582
37.78337164,-122.4073827,Point,11/17/06 18:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,0 Block of 5TH ST,-122.4073827,37.78337164
37.77812478,-122.3918456,Point,11/12/13 22:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE,3RD ST / KING ST,-122.3918456,37.77812478
37.77161883,-122.4413719,Point,5/13/09 20:19,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,PARK,"ARREST, BOOKED",1200 Block of PAGE ST,-122.4413719,37.77161883
37.75204315,-122.3988341,Point,8/18/04 21:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,BAYVIEW,NONE,25TH ST / LITTLEFIELD TR,-122.3988341,37.75204315
37.77399221,-122.4493515,Point,3/11/10 23:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,PARK,NONE,100 Block of CLAYTON ST,-122.4493515,37.77399221
37.78428605,-122.4168937,Point,2/8/09 22:21,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,TENDERLOIN,NONE,600 Block of ELLIS ST,-122.4168937,37.78428605
37.71310723,-122.3878337,Point,12/4/11 11:00,NON-CRIMINAL,LOST PROPERTY,Sunday,BAYVIEW,NONE,600 Block of JAMESTOWN AV,-122.3878337,37.71310723
37.71116187,-122.3864521,Point,5/17/14 2:30,ROBBERY,"ROBBERY, BODILY FORCE",Saturday,BAYVIEW,NONE,JAMESTOWN AV / HARNEY WY,-122.3864521,37.71116187
37.72399482,-122.4020189,Point,1/26/07 9:30,NON-CRIMINAL,LOST PROPERTY,Friday,BAYVIEW,NONE,2900 Block of SAN BRUNO AV,-122.4020189,37.72399482
37.78992,-122.4220627,Point,7/10/14 10:45,FORGERY/COUNTERFEITING,"FORGERY, NOTES",Thursday,NORTHERN,NONE,1500 Block of VANNESS AV,-122.4220627,37.78992
